,Player,Share,predictions,Predicted_Rk,Rk,Diff,Year
98,LeBron James,0.425,0.12430228228715733,4,3,-1,2015
99,Russell Westbrook,0.271,0.1104441001984127,5,4,-1,2015
100,Stephen Curry,1.0,0.8218943019480521,1,1,0,2016
101,Kevin Durant,0.112,0.4714965725108224,2,5,3,2016
102,LeBron James,0.482,0.3197843551587302,3,3,0,2016
103,Russell Westbrook,0.371,0.2751865728715732,4,4,0,2016
104,James Harden,0.007,0.1553344801587303,5,9,4,2016
105,Stephen Curry,0.051,0.6471690689033184,1,6,5,2017
106,Kevin Durant,0.002,0.5578455946969698,2,9,7,2017
107,James Harden,0.746,0.4219596002886001,3,2,-1,2017
108,Kawhi Leonard,0.495,0.38510842108585874,4,3,-1,2017
109,Russell Westbrook,0.879,0.3217444610389608,5,1,-4,2017
110,James Harden,0.955,0.7650363355949605,1,1,0,2018
111,Stephen Curry,0.005,0.37704591405122634,2,11,9,2018
112,Kevin Durant,0.065,0.3340279200036075,3,7,4,2018
113,LeBron James,0.731,0.24418573033910526,4,2,-2,2018
114,Russell Westbrook,0.075,0.19546975829725824,5,5,0,2018
115,Giannis Antetokounmpo,0.932,0.5873076828241204,1,1,0,2019
116,James Harden,0.768,0.5336216585081579,2,2,0,2019
117,Stephen Curry,0.173,0.5103306355103226,3,5,2,2019
118,Kawhi Leonard,0.013,0.3202883027597405,4,9,5,2019
119,Kevin Durant,0.025,0.2634757895923519,5,8,3,2019
120,Giannis Antetokounmpo,0.952,0.7414417991452987,1,1,0,2020
121,Kawhi Leonard,0.166,0.4544523540764792,2,5,3,2020
122,James Harden,0.363,0.4435534535533907,3,3,0,2020
123,Luka Dončić,0.198,0.3491812615440115,4,4,0,2020
124,LeBron James,0.746,0.3460541320346319,5,2,-3,2020
125,Giannis Antetokounmpo,0.345,0.37542996031745984,1,4,3,2021
126,Joel Embiid,0.58,0.337219168109668,2,2,0,2021
127,Russell Westbrook,0.005,0.28375095238095255,3,11,8,2021
128,Stephen Curry,0.449,0.2790061329365077,4,3,-1,2021
129,Kevin Durant,0.0,0.23710432070707071,5,322,317,2021
